id,rho_ODE,x,y,z
117,-2.4268798895832e-05,-1.94125,0,0
118,-2.4268798938465e-05,-1.94075,0,0
119,-2.4268798938465e-05,-1.94025,0,0
120,-2.4268798938465e-05,-1.93975,0,0
121,-2.4268798938465e-05,-1.93925,0,0
122,-2.4268798938465e-05,-1.93875,0,0
123,-2.4268798981097e-05,-1.93825,0,0
124,-2.4268798938465e-05,-1.93775,0,0
125,-2.4268798938465e-05,-1.93725,0,0
126,-2.4268798938465e-05,-1.93675,0,0
127,-2.4268798895832e-05,-1.93625,0,0
128,-2.4268798938465e-05,-1.93575,0,0
129,-2.4268798938465e-05,-1.93525,0,0
130,-2.4268798938465e-05,-1.93475,0,0
131,-2.426879902373e-05,-1.93425,0,0
132,-2.4268798938465e-05,-1.93375,0,0
133,-2.4268798938465e-05,-1.93325,0,0
134,-2.4268798895832e-05,-1.93275,0,0
135,-2.4268798895832e-05,-1.93225,0,0
136,-2.4268798981097e-05,-1.93175,0,0
137,-2.4268798981097e-05,-1.93125,0,0
138,-2.4268798938465e-05,-1.93075,0,0
139,-2.4268798938465e-05,-1.93025,0,0
140,-2.4268798981097e-05,-1.92975,0,0
141,-2.4268798938465e-05,-1.92925,0,0
142,-2.4268798938465e-05,-1.92875,0,0
143,-2.4268798981097e-05,-1.92825,0,0
144,-2.4268798981097e-05,-1.92775,0,0
145,-2.4268798938465e-05,-1.92725,0,0
146,-2.4268798938465e-05,-1.92675,0,0
147,-2.4268798938465e-05,-1.92625,0,0
148,-2.426879902373e-05,-1.92575,0,0
149,-2.4268798938465e-05,-1.92525,0,0
150,-2.4268798938465e-05,-1.92475,0,0
151,-2.4268798938465e-05,-1.92425,0,0
152,-2.4268798981097e-05,-1.92375,0,0
153,-2.4268798938465e-05,-1.92325,0,0
154,-2.4268798981097e-05,-1.92275,0,0
155,-2.4268798938465e-05,-1.92225,0,0
156,-2.4268798938465e-05,-1.92175,0,0
157,-2.4268798981097e-05,-1.92125,0,0
158,-2.4268798938465e-05,-1.92075,0,0
159,-2.4268798981097e-05,-1.92025,0,0
160,-2.4268798895832e-05,-1.91975,0,0
161,-2.4268798981097e-05,-1.91925,0,0
162,-2.4268798938465e-05,-1.91875,0,0
163,-2.4268798938465e-05,-1.91825,0,0
164,-2.4268798895832e-05,-1.91775,0,0
165,-2.426879902373e-05,-1.91725,0,0
166,-2.4268798938465e-05,-1.91675,0,0
167,-2.4268798938465e-05,-1.91625,0,0
168,-2.4268798895832e-05,-1.91575,0,0
169,-2.4268798981097e-05,-1.91525,0,0
